Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI",Last
2023-06-27,18.56%,-0.84%,4.25%,3%,0.82509337256868,564401,0.84715680802154,6545692,187.28
2023-06-26,19.39%,+0.77%,7.28%,5%,0.78047073954984,692158,0.84953703636856,6404575,185.27
2023-06-23,18.62%,+0.30%,4.48%,4%,0.77874998659091,994894,0.8545730740125,6658572,186.68
2023-06-22,18.32%,-0.10%,3.40%,2%,0.82154230364607,768771,0.84315598014532,6513857,187
2023-06-21,18.42%,-0.12%,3.75%,2%,0.97045361483966,702581,0.83717587008343,6415352,183.96
2023-06-20,18.53%,+1.15%,4.17%,2%,0.90123901176541,639111,0.83082190018815,6262795,185.01
2023-06-16,17.38%,-0.57%,0.00%,0%,0.6032730155268,984982,0.90074334932052,8146854,184.92
2023-06-15,17.95%,+0.26%,0.96%,0%,0.54306550230702,1308285,0.8955127557078,8062355,186.01
2023-06-14,17.69%,-0.90%,0.00%,0%,0.6724868766648,900390,0.89440129503926,7934302,183.95
2023-06-13,18.59%,+0.61%,2.26%,1%,0.50194814141247,817608,0.90901242754691,7772735,183.31
2023-06-12,17.98%,-0.46%,0.00%,0%,0.66321670635648,762678,0.90705147569707,7575495,183.79
2023-06-09,18.43%,-0.67%,0.00%,0%,0.54482195702977,1092047,0.83752780872381,8067223,180.96
2023-06-08,19.10%,-1.05%,0.00%,0%,0.6226401608064,930761,0.82907916304993,7969404,180.57
2023-06-07,20.15%,+1.01%,3.91%,1%,0.67165027417969,994102,0.83214328352084,7857359,177.82
2023-06-06,19.14%,-2.02%,0.00%,0%,0.59232200954545,1178046,0.83366188521341,7749277,179.21
2023-06-05,21.16%,+0.08%,7.64%,3%,0.46196884337658,2754111,0.85290479152278,7283778,179.58
2023-06-02,21.08%,-0.63%,7.35%,3%,0.35051668934641,1420202,0.87366052644625,7369772,180.95
2023-06-01,21.71%,-1.26%,9.79%,5%,0.55181883208342,1052203,0.87548169274776,7206424,180.09
2023-05-31,22.97%,+0.77%,14.66%,8%,0.57014898558908,1101213,0.88234727095611,7010441,177.25
2023-05-30,22.19%,+0.32%,11.67%,6%,0.45758022474224,1019401,0.90051459906489,6754484,177.3
2023-05-26,21.88%,-0.88%,10.44%,5%,0.43175456213081,1020904,0.90609588620887,6866232,175.43
2023-05-25,22.76%,+0.06%,13.86%,6%,0.51055309534735,819682,0.90733455746342,6753906,172.99
2023-05-24,22.70%,+1.21%,13.63%,6%,0.74348808684482,722090,0.92251176686507,6620300,171.84
2023-05-23,21.49%,+1.31%,8.95%,4%,0.59359921489518,643038,0.93949213734744,6492640,171.56
2023-05-22,20.18%,+1.00%,3.87%,1%,0.84322895801696,593540,0.93884496474527,6346460,174.2
2023-05-19,19.19%,-0.49%,0.00%,0%,0.64354901970519,993126,1.0061978659823,7219620,175.16
2023-05-18,19.68%,-0.72%,0.00%,0%,0.51975309698661,1065353,1.0009571236315,7078752,175.05
2023-05-17,20.40%,-0.89%,0.00%,0%,0.55850230377612,870316,1.0054859085331,6966310,172.69
2023-05-16,21.29%,+0.44%,2.85%,2%,1.0467157767799,546512,1.0128671393125,6901117,172.07
2023-05-15,20.85%,-0.31%,1.03%,1%,0.73972218221035,471035,1.0224791485952,6768544,172.07
2023-05-12,21.16%,+0.40%,2.32%,1%,0.80870797957949,914783,1.0444834260229,7025624,172.57
2023-05-11,20.76%,+0.16%,0.67%,1%,0.40955460681875,1321628,1.0032755353718,7009401,173.75
2023-05-10,20.60%,-0.99%,0.00%,0%,0.69643430201462,856377,1.0081302775058,6906448,173.555
2023-05-09,21.59%,+0.18%,0.78%,1%,0.92035916817185,517773,1.0071788460644,6858777,171.77
2023-05-08,21.41%,-0.09%,0.00%,0%,0.89853898032177,719252,1.0132118893845,6731486,173.5
2023-05-05,21.50%,-9.10%,0.00%,0%,0.80064240458297,2265923,0.99481432934437,7018838,173.57
2023-05-04,30.60%,+2.11%,36.06%,37%,0.96437398047285,1398098,0.98101373695959,6694828,165.79
2023-05-03,28.49%,+1.35%,26.66%,26%,0.76789809386019,768599,0.98702819455753,6505884,167.45
2023-05-02,27.14%,+0.58%,20.67%,18%,0.91823023318571,483371,0.9844438456418,6451292,168.54
2023-05-01,26.56%,+1.12%,18.10%,14%,0.60739678398395,607469,1.0001606760124,6273998,169.59
2023-04-28,25.43%,-0.72%,13.10%,6%,0.85400063316403,942865,1.0085465722602,6492440,169.68
2023-04-27,26.16%,-2.22%,16.31%,10%,0.64982362863075,932152,0.97782512463025,6406138,168.41
2023-04-26,28.38%,-0.71%,26.20%,25%,0.8927060950237,665907,0.98000758465284,6296634,163.76
2023-04-25,29.09%,+2.68%,29.34%,29%,0.92678907721281,671170,0.99798083777989,6199279,163.77
2023-04-24,26.41%,+0.26%,17.45%,13%,0.80195108707389,584061,0.99999211530059,6087716,165.33
2023-04-21,26.15%,-0.07%,16.28%,12%,0.82786216555727,1012738,1.0528588528501,7144733,165.02
2023-04-20,26.22%,+0.62%,16.59%,12%,1.1706112989095,835401,1.0450587753998,7063451,166.65
2023-04-19,25.60%,+0.26%,13.82%,9%,0.99117392185735,893832,1.0178250811106,6918420,167.63
2023-04-18,25.33%,-0.73%,12.65%,7%,0.74653223224837,725630,1.0189097594419,6843668,166.47
2023-04-17,26.07%,-0.42%,15.91%,9%,0.80361188019129,544597,1.0413511161882,7033610,165.23
2023-04-14,26.49%,-1.00%,17.79%,11%,0.94404348082248,1055880,1.0263845729682,6985975,165.21
2023-04-13,27.49%,-1.91%,22.22%,17%,0.94134087755232,1193317,0.99633802932029,6838412,165.56
2023-04-12,29.39%,-0.09%,30.69%,27%,0.76933025593052,692231,1.0051753837191,6759749,160.1
2023-04-11,29.48%,+0.03%,31.07%,28%,0.76040198792149,559667,1.0060371937959,6683807,160.8
2023-04-10,29.45%,+1.51%,30.94%,26%,0.91555399513708,731098,1.0230606533513,6866719,162.03
2023-04-06,27.94%,-0.83%,24.23%,18%,0.89724357597213,812468,1.0158880953941,6830607,164.66
2023-04-05,28.77%,+1.33%,27.92%,22%,0.97087364056961,1049640,1.0075840744838,6755147,163.76
2023-04-04,27.44%,+0.94%,22.02%,16%,1.0177064313989,690671,1.0055856917449,6682064,165.63
2023-04-03,26.51%,+1.35%,17.86%,10%,0.8580891708975,879088,1.0660607512901,6863053,166.17
2023-03-31,25.16%,-0.23%,11.86%,5%,0.79851641775593,1146574,1.0227772071998,6745608,164.9
2023-03-30,25.39%,+0.77%,12.90%,5%,0.92439473209453,800019,1.0180515044642,6642693,162.36
2023-03-29,24.62%,-1.37%,9.48%,3%,0.9262478728682,722185,1.0097353899184,6534733,160.77
2023-03-28,25.99%,-1.16%,15.56%,7%,0.74585639963001,628531,1.0232223057334,6490135,157.65
2023-03-27,27.15%,+0.69%,20.71%,14%,0.96234373218832,723002,1.0567900825564,6705039,158.28
2023-03-24,26.46%,-0.39%,17.65%,9%,0.94546257916553,1017082,1.0051657150294,6655530,160.25
2023-03-23,26.85%,-0.25%,19.40%,11%,0.97782011934236,1040100,0.99936978259184,6525849,158.93
2023-03-22,27.10%,+1.43%,20.51%,14%,0.850664166376,1156654,0.99411954175082,6413918,157.83
2023-03-21,25.67%,-2.03%,14.16%,8%,0.77447998819831,938235,0.97839142840041,6246765,159.28
2023-03-20,27.70%,-1.15%,23.18%,16%,0.79664575533745,852300,1.081799347366,7216699,157.4
2023-03-17,28.85%,+1.76%,28.31%,23%,0.86592171866288,1358753,0.97280886914415,7501223,155
2023-03-16,27.09%,-1.96%,20.47%,14%,0.98901685990718,1187636,0.9471163993803,7379945,155.85
2023-03-15,29.06%,+0.78%,29.20%,24%,1.2273994265097,890198,0.91586515328388,7326299,152.99
2023-03-14,28.28%,-2.74%,25.75%,20%,0.81980113957561,853070,0.93284092953313,7177311,152.445
2023-03-13,31.53%,+1.06%,40.19%,37%,1.1747256205763,974301,0.93706443961,6995869,150.47
2023-03-10,30.47%,+1.46%,35.49%,30%,1.3624491643835,1210604,0.94297666491094,7270710,148.5
2023-03-09,29.01%,+2.96%,29.00%,23%,0.982952898514,978268,0.95272493796948,7226250,150.59
2023-03-08,26.05%,-0.63%,15.84%,9%,1.0953800541372,641729,0.94670632539831,7125389,152.87
2023-03-07,26.68%,+0.63%,18.62%,11%,1.0214523887487,876619,0.95791184533582,7032696,151.59
2023-03-06,26.05%,+0.48%,15.82%,9%,0.84201813434237,1511048,0.966536253535,7025437,153.83
2023-03-03,25.56%,-1.86%,13.67%,6%,0.83787511694293,1379079,0.93632167103469,6897658,151.03
2023-03-02,27.42%,-1.07%,21.94%,13%,0.76234345925089,771880,0.94077385053856,6802096,145.91
2023-03-01,28.49%,+0.55%,26.70%,18%,0.98317011536533,787146,0.95119382370483,6693387,145.31
2023-02-28,27.94%,-0.62%,24.24%,15%,0.84630015974611,521253,0.97109159293518,6590668,147.41
2023-02-27,28.56%,-0.29%,26.98%,18%,1.1005530966735,691960,0.94185871090209,6783396,147.92
2023-02-24,28.84%,+0.62%,28.25%,19%,0.97436261504828,1015083,0.96728201783059,6773712,146.71
2023-02-23,28.22%,-1.50%,25.48%,17%,0.80259062776304,815492,0.98177159309192,6663705,149.4
2023-02-22,29.72%,-0.34%,32.15%,24%,1.1314466158838,857903,0.97939091462876,6566952,148.91
2023-02-21,30.06%,+3.00%,33.67%,25%,0.92294175057378,790081,1.0737428924193,7472465,148.48
2023-02-17,27.07%,-1.10%,20.35%,12%,0.69319177154857,1225583,1.0302187059543,7678882,152.55
2023-02-16,28.16%,+1.87%,25.24%,16%,0.89007027866952,1198125,1.0379344734606,7558701,153.71
2023-02-15,26.29%,-1.47%,16.91%,9%,0.78417856879471,1088679,1.0367983060052,7425800,155.33
2023-02-14,27.76%,-1.83%,23.45%,14%,0.91389940584082,820437,1.0316137695876,7311845,153.2
2023-02-13,29.59%,+0.24%,31.56%,22%,0.79911281077477,817641,1.0115848965938,7585401,153.85
2023-02-10,29.35%,-0.55%,30.50%,21%,1.0423375651274,971348,1.0186559034739,7542082,151.01
2023-02-09,29.90%,+0.96%,32.94%,24%,0.61464266487661,971763,0.98825532504518,7576402,150.87
2023-02-08,28.94%,+1.76%,28.67%,18%,0.7568270025777,903053,1.0032455514874,7501173,151.95
2023-02-07,27.18%,-1.19%,20.87%,14%,0.69108072334413,1134519,1.0025921668321,7414213,154.65
2023-02-06,28.37%,+0.61%,26.15%,18%,0.90319968552035,1050610,1.0899532638829,7859217,151.73
2023-02-03,27.76%,-3.65%,23.46%,15%,0.76743264547001,3742323,1.0185911821224,7510875,154.5
2023-02-02,31.41%,+0.58%,39.68%,33%,0.67049995630749,2198403,1.0268773478951,7013024,150.82
2023-02-01,30.84%,-1.75%,37.11%,29%,0.79347045656122,849280,1.0355146342239,6848719,145.43
2023-01-31,32.58%,-1.39%,44.88%,45%,0.98623547519578,587161,1.0259549406398,6684847,144.29
2023-01-30,33.97%,+3.18%,51.06%,56%,0.89729933022505,686090,1.0658354045661,6863734,143
2023-01-27,30.79%,-0.08%,36.90%,30%,0.57479042416724,1525942,1.0382404967439,6729251,145.93
2023-01-26,30.87%,-1.47%,37.25%,30%,0.73892526376497,1025166,1.0283104904534,6576527,143.96
2023-01-25,32.34%,+0.44%,43.80%,42%,1.0268811679518,1104557,1.0320367445715,6410129,141.86
2023-01-24,31.90%,+0.13%,41.82%,39%,0.77190254232031,856846,1.0276444930358,6235167,142.53
2023-01-23,31.76%,-0.75%,41.24%,37%,0.80834017974955,1452712,0.9678288344162,7859286,141.11
2023-01-20,32.51%,-2.54%,44.56%,43%,0.64316935898194,1416854,0.91763509546969,8257889,137.82
2023-01-19,35.05%,+0.70%,55.84%,61%,1.1130518965368,1076059,0.91811425541455,8153639,135.27
2023-01-18,34.34%,+0.25%,52.71%,58%,1.3424745518297,1517195,0.92455649568075,8007227,135.21
2023-01-17,34.09%,+0.95%,51.59%,56%,0.85060201220518,1065919,0.94650108798944,8219932,135.94
2023-01-13,33.14%,-2.03%,47.36%,47%,1.0967002266176,1251816,0.92344167616857,8188172,134.7448
2023-01-12,35.17%,-1.56%,56.37%,62%,1.1851625491471,1337184,0.92514271588362,8052460,133.41
2023-01-11,36.73%,-0.74%,63.30%,72%,1.2665621265291,1191024,0.92566653068168,7934811,133.49
2023-01-10,37.47%,-0.24%,66.60%,76%,1.1187179315659,855176,0.92820948372322,7852905,130.73
2023-01-09,37.71%,+0.06%,67.66%,78%,1.0806749518691,1170440,0.93624288596307,8152237,130.15
2023-01-06,37.65%,-3.39%,67.39%,78%,1.1329765175011,1805298,0.92408180737172,8054826,129.62
2023-01-05,41.03%,+0.99%,82.45%,92%,1.2717502473303,1494873,0.92923012533186,7854573,125.02
2023-01-04,40.04%,-2.75%,78.05%,90%,1.9114867628961,1700975,0.93907466112333,7746962,126.36
2023-01-03,42.79%,+4.68%,90.27%,96%,1.2579625003229,1835649,0.9178725442513,7799769,125.07
2022-12-30,38.11%,+0.14%,69.46%,82%,1.4007161946427,1360930,0.89554913323403,7660786,129.93
2022-12-29,37.97%,-2.57%,68.82%,82%,1.0168015137675,1360018,0.88156133607938,7530699,129.61
2022-12-28,40.53%,+3.11%,80.23%,91%,1.6052727634944,1948533,0.89757679409447,7367266,126.04
2022-12-27,37.43%,+2.99%,66.42%,79%,1.1345226277883,976241,0.87507733673513,7640402,130.03
2022-12-23,34.44%,-0.25%,53.13%,64%,0.91758735371636,1289240,0.89555406394495,7557085,131.86
2022-12-22,34.68%,+2.86%,54.22%,65%,1.2706704558291,1527698,0.90722386454289,7432953,132.23
2022-12-21,31.82%,-2.11%,41.50%,43%,1.5238055415797,1840942,0.9105231014311,7301385,135.45
2022-12-20,33.93%,-0.40%,50.87%,60%,0.80718327923548,1237129,0.93880702836088,7194624,132.3
2022-12-19,34.33%,-0.12%,52.63%,63%,0.88049367453864,1283845,0.85950976992609,8194086,132.37
2022-12-16,34.44%,-0.62%,53.14%,65%,1.1475864747592,1835729,0.93845813570912,8308470,134.51
2022-12-15,35.06%,+3.08%,55.91%,66%,0.9461098831663,1576927,0.96488728225815,8174440,136.5
2022-12-14,31.98%,-0.07%,42.21%,45%,1.0771710567902,1150140,0.97765779452821,8096709,143.21
2022-12-13,32.05%,-2.29%,42.52%,45%,1.175696132188,1205860,0.97101683104248,8001739,145.47
2022-12-12,34.34%,+1.38%,52.70%,64%,0.89781809841493,761249,0.95146660585097,8231694,144.49
2022-12-09,32.96%,-0.20%,46.57%,54%,0.94769930039902,1224688,0.96703954624232,8239968,142.16
2022-12-08,33.16%,-1.17%,47.45%,56%,0.9518074646791,897687,0.97137576681726,8188815,142.65
2022-12-07,34.34%,+1.18%,52.67%,64%,1.510137889896,1376035,0.99408623317638,8078492,140.94
2022-12-06,33.15%,+2.14%,47.42%,57%,0.9838627951626,1002307,0.9974987428831,8004347,142.91
2022-12-05,31.01%,+2.26%,37.90%,39%,0.74695313156653,1080784,1.0105817108776,8234832,146.63
2022-12-02,28.75%,-0.93%,27.86%,21%,0.9708503122549,1002609,1.0022472003436,8196275,147.81
2022-12-01,29.68%,-0.19%,31.99%,31%,0.99898169760863,1034529,0.99982328718946,8091511,148.31
2022-11-30,29.87%,-3.91%,32.83%,31%,1.3017920350911,1658234,0.98926734785958,7980125,148.03
2022-11-29,33.78%,+0.65%,50.20%,61%,1.1413578301136,1426594,0.98638614250802,8206951,141.17
2022-11-28,33.13%,+2.40%,47.32%,56%,1.2046718782525,1069709,0.9853632768089,8024074,144.22
2022-11-25,30.73%,+1.24%,36.66%,38%,0.92891977098703,854741,0.99008576765776,7993277,148.11
2022-11-23,29.50%,-0.68%,31.16%,30%,1.2041205422878,1127163,0.9809175930194,7834226,151.07
2022-11-22,30.17%,-2.18%,34.16%,34%,1.1925027007889,966043,0.96912709546412,7685060,150.18
2022-11-21,32.35%,+0.86%,43.86%,49%,1.0082452028806,917754,1.009077354066,8539961,148.01
2022-11-18,31.50%,-0.62%,40.05%,44%,0.86007132361347,1334218,0.97028920191626,8592843,151.29
2022-11-17,32.12%,-1.03%,42.82%,48%,0.86049642737061,1278215,0.972519889137,8437872,150.72
2022-11-16,33.15%,+0.03%,48.04%,57%,1.1484501843067,812488,0.96849494391242,8348828,148.79
2022-11-15,33.12%,-0.18%,50.22%,57%,0.83782417916253,1294624,0.95671135349187,8174780,150.04
2022-11-14,33.29%,+1.51%,50.96%,58%,0.9233478640637,949051,0.99810654927067,8441125,148.28
2022-11-11,31.78%,-1.14%,44.61%,48%,0.70393872740455,1945973,0.96291203482305,8430876,149.7
2022-11-10,32.27%,-5.62%,46.68%,51%,0.82438487358015,1967039,0.95466685081566,8180314,146.87
2022-11-09,37.90%,+2.15%,70.28%,82%,1.1201908038786,1057407,0.96105442193371,8084792,134.87
2022-11-08,35.75%,-0.21%,61.25%,71%,1.2809814341009,1355991,0.97378157764225,7987521,139.5
2022-11-07,35.96%,-0.16%,62.33%,71%,0.924267518508,1043334,0.95215464252796,8325758,138.92
2022-11-04,36.12%,+1.29%,63.88%,73%,0.98199725638544,2670004,1.0099996589724,8251531,138.38
2022-11-03,34.83%,+1.33%,59.28%,67%,0.98305305056013,1815493,1.0137111215137,8100155,138.88
2022-11-02,33.50%,+0.99%,54.71%,62%,1.1136089328498,1525288,0.99148079962733,7938853,145.03
2022-11-01,32.51%,+0.30%,50.82%,55%,0.74675547598651,1088854,0.996233709639,7819481,150.65
2022-10-31,32.22%,+0.92%,49.65%,54%,0.87852581624463,969015,1.1240803989271,8517042,153.34
2022-10-28,31.29%,-10.76%,46.02%,48%,0.98037895625833,3132809,1.0558306401841,8284317,155.74
2022-10-27,42.05%,+3.82%,88.44%,95%,1.7560119729092,1998026,1.015026982257,7833901,144.8
2022-10-26,38.23%,+1.28%,73.38%,84%,1.2203754608471,1060569,0.9969183832746,7599213,149.35
2022-10-25,36.95%,-1.83%,68.32%,78%,0.85529414092645,843849,0.99986203508979,7450656,152.34
2022-10-24,38.78%,+0.02%,75.53%,88%,0.82891397864054,808647,0.98565794453225,8431745,149.45
2022-10-21,38.76%,-1.17%,75.45%,88%,0.96454389921809,1298703,0.96798816305595,8652073,147.28
2022-10-20,39.93%,-1.24%,80.08%,90%,1.1739598705838,1003189,0.96678730265169,8576178,143.39
2022-10-19,41.17%,-0.01%,84.98%,93%,1.7781111661689,1014769,0.97519209705488,8526051,143.86
2022-10-18,41.18%,-0.67%,85.01%,93%,1.2896532919508,1360354,0.97607518394384,8399272,143.75
2022-10-17,41.85%,-1.75%,87.66%,95%,0.91138074958959,946575,0.96778280244026,8696683,142.41
2022-10-14,43.60%,+1.19%,94.56%,98%,0.96056504351008,1318231,0.98149490967634,8697976,138.395
2022-10-13,42.41%,-2.48%,89.87%,96%,1.1624146965119,1787785,0.98612234733349,8533613,142.99
2022-10-12,44.89%,+0.89%,99.65%,99%,1.485129255664,1057840,0.99162509385345,8427225,138.34
2022-10-11,44.01%,+0.20%,96.15%,99%,1.2375376668102,883626,1.005697591727,8351101,138.98
2022-10-10,43.81%,+1.03%,95.38%,99%,0.92686221399373,815951,0.98066263904327,8722353,140.42
2022-10-07,42.78%,+2.14%,91.31%,98%,1.2677643851342,1580405,0.99540438778693,8643140,140.09
2022-10-06,40.63%,+2.83%,82.85%,96%,1.0939549267219,1061721,0.98612687535376,8586525,145.43
2022-10-05,37.80%,-0.67%,71.68%,88%,1.3954075774971,1366592,0.98210934776028,8453294,146.4
2022-10-04,38.48%,-2.79%,74.34%,91%,0.79605924115677,1231750,0.980027635859,8292429,146.1
2022-10-03,41.26%,-3.72%,85.33%,96%,0.82948882816267,1502325,0.932591203993,8517544,142.45
2022-09-30,44.98%,+0.91%,100.00%,100%,1.1383682788893,1883370,0.97198303759705,8500647,138.2
2022-09-29,44.07%,+3.77%,100.00%,100%,1.0377533400908,2400396,0.98023278562369,8229192,142.48
2022-09-28,40.30%,-1.08%,86.82%,96%,1.1762898706199,2353244,0.99301614300557,8033298,149.84
2022-09-27,41.38%,+0.65%,91.36%,98%,1.1239244563977,1284078,0.99950738878808,7890690,151.76
2022-09-26,40.73%,+3.24%,88.61%,98%,1.1199174679799,1361358,0.98764688690526,8113509,150.77
2022-09-23,37.48%,+1.56%,74.99%,90%,1.5331330764728,1969093,0.98643861623553,8011591,150.43
2022-09-22,35.92%,-0.55%,68.42%,82%,1.1661701583015,1751667,1.007536073702,7828142,152.74
2022-09-21,36.47%,+2.28%,70.74%,85%,1.1083569349019,1597540,0.9939064830184,7618282,153.72
2022-09-20,34.19%,+0.91%,61.14%,77%,1.1806313036982,1634514,0.97134777088066,7365318,156.9
2022-09-19,33.27%,-2.00%,57.31%,72%,1.0219026156969,1176256,0.94939998466141,8667623,154.48
2022-09-16,35.27%,+1.84%,65.69%,81%,1.1449253251052,2446238,0.96812720379356,8902725,150.7
2022-09-15,33.43%,+1.22%,57.95%,73%,1.1611026736878,1760203,0.95570924544944,8780274,152.37
2022-09-14,32.21%,-1.35%,52.83%,66%,1.0110207457355,1621846,0.96511489476531,8665970,155.43
2022-09-13,33.56%,+5.66%,58.50%,74%,0.9055899751623,1851294,0.9705711565943,8524679,153.84
2022-09-12,27.90%,+0.61%,34.74%,37%,0.64372319835197,1808061,0.95154953729832,8544483,163.43
2022-09-09,27.28%,-2.69%,32.16%,34%,0.81802356910906,1288786,0.94273521438355,8493413,157.37
2022-09-08,29.97%,-0.56%,43.44%,52%,0.91378195112605,1488220,0.95411804655971,8418960,154.45
2022-09-07,30.53%,-2.44%,45.81%,56%,0.803216917072,1467723,0.95098169985346,8278706,155.96
2022-09-06,32.98%,+1.66%,56.06%,72%,0.66970083634434,1057308,0.94324250792304,8435264,154.53
2022-09-02,31.32%,+1.04%,49.10%,61%,0.79734775793359,1503210,0.97487166651486,8260981,155.81
2022-09-01,30.28%,-0.61%,44.75%,56%,1.0313239430409,1474016,0.9852275044618,8157947,157.96
2022-08-31,30.89%,-0.27%,47.31%,58%,0.93480430562051,955714,0.99665206990178,8100088,157.22
2022-08-30,31.16%,-0.07%,48.44%,60%,0.79679495818424,1186598,1.0279752680383,7961693,158.91
2022-08-29,31.23%,+1.28%,48.74%,61%,1.0345115453244,1152740,0.99542402727821,8223324,161.38
2022-08-26,29.95%,+4.36%,43.35%,55%,0.92729966294962,1631384,1.0297438280203,8247588,163.62
2022-08-25,25.59%,-1.40%,25.06%,26%,0.70764342295491,990995,1.0355406741382,8143211,170.03
2022-08-24,26.99%,-1.06%,30.93%,36%,1.022402297488,904210,1.0529996879996,8034326,167.53
2022-08-23,28.05%,-0.06%,35.37%,42%,0.92004833814562,832556,1.0613672924685,7951075,167.23
2022-08-22,28.11%,+2.71%,35.64%,42%,1.0990575618475,1240140,1.1854361305165,8880087,167.57
2022-08-19,25.41%,+0.57%,24.27%,27%,1.0621820000026,1571360,1.1419897198532,8966641,171.52
2022-08-18,24.84%,+0.17%,21.89%,25%,1.0862776835323,1340496,1.1278329116706,8791480,174.15
2022-08-17,24.67%,+1.77%,21.19%,23%,1.0211760232543,2019933,1.0951529952209,8454001,174.55
2022-08-16,22.90%,+0.18%,13.75%,15%,0.95129197769133,1031771,1.095838650714,8296830,173.03
2022-08-15,22.72%,+0.23%,12.99%,13%,0.96080973035455,1061902,1.1221634122633,8348489,173.19
2022-08-12,22.49%,-1.11%,12.01%,12%,1.0005453969751,1434209,1.079840509237,8220736,172.12
2022-08-11,23.60%,+0.28%,16.69%,18%,0.9621983153181,1230420,1.0715133455902,8086461,168.49
2022-08-10,23.32%,-3.29%,15.53%,17%,0.93469539998021,1270795,1.0605782182016,7907710,169.24
2022-08-09,26.61%,+0.96%,29.33%,34%,1.3338911594446,905118,1.0630887911525,7807873,164.92
2022-08-08,25.65%,+0.70%,25.31%,28%,1.038359564305,1143216,1.0881130146778,7997358,164.87
2022-08-05,24.96%,-0.76%,22.38%,27%,0.94161240211986,1166146,1.0802170708296,7927545,165.35
2022-08-04,25.71%,-0.61%,25.57%,29%,0.57353332418173,1295287,1.0547453377446,7894272,165.81
2022-08-03,26.33%,-2.05%,28.14%,32%,0.82216630859155,1457088,1.0394244016643,7679681,166.13
2022-08-02,28.38%,+1.46%,36.75%,43%,1.2508105674622,1039924,1.0329949266043,7515043,160.01
2022-08-01,26.92%,+1.81%,30.64%,37%,0.89183652197666,1052720,1.1165007134521,7885125,161.51
2022-07-29,25.11%,-5.22%,23.02%,29%,0.64122194238031,2182364,1.0603150616399,7795884,162.469
2022-07-28,30.33%,-1.53%,44.94%,58%,1.2692707251195,1572768,1.0295768896566,7420606,157.35
2022-07-27,31.85%,-3.33%,51.35%,66%,1.0058451082484,1109114,1.0173564142795,7106374,156.79
2022-07-26,35.19%,+1.38%,65.35%,79%,1.6980032560812,563451,1.0120298776476,7014914,151.6
2022-07-25,33.81%,+1.38%,59.54%,75%,1.3601188341956,691149,1.0207107433626,7226294,152.95
2022-07-22,32.42%,+0.83%,53.74%,69%,0.91545177684731,1181171,0.99316884481251,7194327,154.09
2022-07-21,31.59%,-0.81%,50.26%,65%,0.83688848523528,1197328,0.98868200514797,7067046,155.35
2022-07-20,32.41%,-1.47%,53.67%,69%,0.86473140935524,1069099,0.9862442819281,6939002,153.04
2022-07-19,33.87%,-2.48%,59.84%,76%,1.1740993949622,1133695,0.97291584370736,6757511,151
2022-07-18,36.36%,+2.31%,70.27%,84%,1.1776769603386,1396333,1.0340485580924,7364165,147.07
2022-07-15,34.05%,-3.40%,60.56%,77%,0.60314568653245,1592807,0.98005309648828,7566466,150.17
2022-07-14,37.44%,+0.01%,74.82%,90%,0.89496303080987,1713039,0.97972450593077,7359416,148.47
2022-07-13,37.44%,-0.32%,74.80%,90%,0.97003207052085,1148706,0.98809869431665,7245073,145.49
2022-07-12,37.76%,+1.40%,76.15%,90%,1.040791422187,1386379,0.97912952490855,7024849,145.86
2022-07-11,36.36%,+2.51%,70.27%,86%,0.99908664643256,1063724,1.0115643130332,7099774,144.889
2022-07-08,33.85%,-1.34%,59.72%,78%,0.81344218274299,1327699,0.9784408238237,7093844,147.04
2022-07-07,35.19%,-1.99%,65.35%,82%,1.0053769954973,1224784,0.95981141527515,6916637,146.35
2022-07-06,37.18%,-1.32%,73.72%,90%,0.92270726724459,1079479,0.95541706077538,6795350,142.92
2022-07-05,38.50%,+0.60%,79.26%,94%,0.86296307009717,837251,0.94577265908176,7019406,141.56
2022-07-01,37.90%,-2.13%,76.74%,91%,0.87913704131837,1110290,0.937049248741,7018158,138.93
2022-06-30,40.03%,+1.60%,85.69%,97%,0.87189146193213,1371986,0.94661159300256,6942818,136.72
2022-06-29,38.43%,+0.07%,78.96%,94%,1.2159813341925,1052323,0.93221672594695,6789997,139.23
2022-06-28,38.36%,+2.11%,78.66%,94%,1.0703343437182,1038871,0.92272422667252,6665087,137.44
2022-06-27,36.25%,+2.90%,69.81%,88%,0.76540106852555,855501,0.94529339282978,6880102,141.66
2022-06-24,33.35%,-2.04%,57.65%,81%,0.53215377068606,1443010,0.92301723985917,6870381,141.66
2022-06-23,35.39%,-0.62%,66.19%,86%,0.88458448629831,1140102,0.92387318930362,6715693,138.27
2022-06-22,36.01%,+0.73%,68.79%,87%,0.8858828939301,1008887,0.93398777846031,6589605,135.35
