Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI",Last
2023-06-27,43.08%,-1.30%,9.07%,2%,0.47861946236375,259236,0.89506579481325,2801923,109.31
2023-06-26,44.38%,+1.55%,13.58%,9%,0.40743435687408,609291,0.93092443710884,2693097,107.51
2023-06-23,42.83%,-0.94%,8.19%,2%,0.56412227321642,905522,0.85457877816319,2966842,110.01
2023-06-22,43.77%,-0.72%,11.45%,4%,0.67387156922691,774723,0.88466792544357,2851708,110.7
2023-06-21,44.49%,-0.33%,13.95%,8%,0.65148040070781,920228,0.91390555241857,2721767,112.11
2023-06-20,44.82%,+0.71%,15.09%,10%,0.66843758443664,493991,0.93394904104512,2609139,118.93
2023-06-16,44.11%,-0.95%,12.64%,5%,0.56149515637488,888967,0.94080341983383,3863635,120.08
2023-06-15,45.06%,-0.86%,15.94%,11%,0.48595513968681,799747,0.94768737551724,3782479,124.24
2023-06-14,45.92%,+0.42%,18.93%,13%,0.49670099679559,759465,0.93677940096346,3704875,127.33
2023-06-13,45.51%,-6.12%,17.49%,12%,0.50009793111453,1240749,0.93126026609498,3506091,124.53
2023-06-12,51.63%,-1.55%,38.76%,48%,0.50993194514982,743264,0.94885284849595,3320512,129.19
2023-06-09,53.18%,+4.08%,44.13%,60%,0.53792669322709,965049,0.96645800810233,3465310,124.92
2023-06-08,49.10%,+1.82%,29.97%,31%,0.61928416166145,692061,0.9954204491161,3341132,121.05
2023-06-07,47.28%,+0.65%,23.63%,21%,0.89345245471571,809805,0.97881568362267,3224775,117.83
2023-06-06,46.62%,+0.66%,21.35%,17%,0.63687986457559,731024,0.97011521510435,3123728,124.23
2023-06-05,45.97%,-0.07%,19.08%,13%,0.73530596714267,348885,0.97063751881216,3048324,117.93
2023-06-02,46.04%,-3.58%,19.32%,13%,0.6336531153969,593284,0.94629436048263,3295524,117.86
2023-06-01,49.61%,-0.48%,31.74%,32%,0.59210185889344,609213,0.94616799509503,3205942,119.47
2023-05-31,50.09%,-1.65%,33.41%,35%,0.65788088837244,696242,0.98040188319079,3130043,118.21
2023-05-30,51.74%,+1.22%,39.14%,46%,0.6156428013302,783653,1.0097319617082,2982601,125.27
2023-05-26,50.52%,+0.33%,34.89%,37%,0.67318296395718,1277768,1.0236248382924,3128524,127.03
2023-05-25,50.19%,+3.89%,33.74%,35%,0.51835989001053,1385429,0.9966122991422,2892043,120.35
2023-05-24,46.30%,+1.48%,20.24%,16%,0.93494065318119,396301,0.98782334932436,2840039,108.27
2023-05-23,44.82%,+0.43%,15.09%,10%,0.50778372988811,641179,1.0001923248491,2735219,108.12
2023-05-22,44.39%,+1.32%,13.60%,8%,0.58289335403824,504571,1.02142511422,2622791,108
2023-05-19,43.07%,-0.46%,9.02%,2%,0.65443462953892,881587,1.1619549033903,3095807,105.82
2023-05-18,43.53%,-0.12%,10.63%,3%,0.77240071104301,1054901,1.1366448313058,2991025,107.93
2023-05-17,43.66%,-1.36%,11.05%,3%,0.80708223846431,736536,1.1061397120691,2903659,103.75
2023-05-16,45.02%,+1.55%,15.77%,9%,0.84315934167758,1143767,1.0459970367498,2701068,101.48
2023-05-15,43.46%,+1.97%,10.37%,2%,0.62704727620075,500784,1.0584348922639,2572564,97.4
2023-05-12,41.49%,-1.25%,3.53%,1%,0.74677286604206,664282,1.0744841432567,2822846,95.26
2023-05-11,42.74%,-0.35%,7.86%,1%,0.72608456263972,573697,1.0661353788736,2761392,97.1
2023-05-10,43.09%,-0.42%,9.09%,1%,0.58984459245163,1002556,1.0653403190055,2664826,97.02
2023-05-09,43.52%,-0.32%,10.56%,1%,0.60963294223562,657960,1.0848854555098,2598178,95.06
2023-05-08,43.83%,+3.36%,11.45%,1%,0.61202261629401,940857,1.0505895132651,2454043,95.04
