Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI",Last
2023-06-27,26.95%,-0.97%,33.70%,29%,0.59189539487026,180548,0.90637502074637,2745201,331.475
2023-06-26,27.92%,+3.69%,37.69%,36%,0.69345978764293,298728,0.9048375284442,2671167,328.6
2023-06-23,24.23%,+0.93%,22.45%,20%,0.53621279192538,317188,0.88955755241763,2759935,335.02
2023-06-22,23.30%,-0.19%,18.61%,17%,0.47490862084336,330881,0.8928249033087,2719590,339.71
2023-06-21,23.48%,+0.82%,19.38%,18%,0.60077042727268,285070,0.89082532461525,2677524,333.56
2023-06-20,22.67%,+0.92%,16.00%,13%,0.5626158202188,332234,0.90763126089764,2602774,338.05
2023-06-16,21.74%,-0.49%,12.19%,9%,0.48811393159738,531654,0.9936975984552,3330737,342.33
2023-06-15,22.23%,+1.02%,14.21%,11%,0.56467954634669,884892,0.9900244569775,3179876,348.1
2023-06-14,21.21%,+0.53%,10.01%,6%,0.70003599256802,349524,0.9768931195873,3119310,337.34
2023-06-13,20.68%,-0.07%,7.82%,4%,0.60193475885427,309332,0.97622660369118,3072398,334.29
2023-06-12,20.75%,+0.97%,8.09%,4%,0.65179957422273,297945,0.97410797231345,3017503,331.85
2023-06-09,19.78%,+0.30%,4.09%,2%,0.46796248163634,402690,0.94107764718685,3139235,326.79
2023-06-08,19.48%,-1.30%,2.84%,1%,0.48635175725898,350345,0.94822095559884,3099828,325.26
2023-06-07,20.78%,+1.98%,8.19%,3%,0.6539381981803,582608,0.96578573540714,2984910,323.38
2023-06-06,18.79%,-0.71%,0.00%,0%,0.79471436593079,242911,0.95909246018416,2939438,333.68
2023-06-05,19.50%,-0.75%,0.90%,1%,0.854332825522,248310,0.95349742403192,2890848,335.94
2023-06-02,20.24%,-1.29%,4.04%,2%,0.48547082038054,404259,0.95869801729413,3011982,335.4
2023-06-01,21.53%,-1.38%,9.46%,5%,0.60409240454192,315456,0.95479440738793,2981644,332.58
2023-05-31,22.91%,+0.36%,15.27%,9%,0.6849460732189,421496,0.96826518826208,2929312,328.39
2023-05-30,22.54%,-0.70%,13.74%,8%,0.70067666721017,375489,0.9700570860779,2870911,331.21
2023-05-26,23.25%,+0.14%,16.70%,10%,0.45073667956139,725290,0.98952757832622,2934587,332.89
2023-05-25,23.11%,+0.64%,16.13%,10%,0.58039954188037,698230,0.98467403017052,2819807,325.92
2023-05-24,22.47%,+0.70%,13.41%,7%,0.82569490728035,279408,0.98816118085729,2787062,313.85
2023-05-23,21.77%,+1.89%,10.46%,5%,0.59500257599176,371508,1.003293055527,2730224,315.26
2023-05-22,19.88%,+0.40%,2.49%,1%,0.76069578326044,331701,1.0035424922395,2664986,321.18
2023-05-19,19.48%,+0.19%,0.80%,0%,0.87394511329847,373719,1.0677053919875,2943726,318.34
