Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI",Last
2023-06-27,45.48%,-0.72%,25.17%,42%,0.88399195319907,81477,1.0910614511896,882108,418.14
2023-06-26,46.20%,+0.40%,26.47%,45%,0.76994534778069,130514,1.0869040361228,859193,415.94
2023-06-23,45.80%,-0.07%,25.75%,43%,0.67931390911705,216079,1.0432716921176,925929,424.02
2023-06-22,45.87%,-0.75%,25.87%,43%,0.75698517743585,149472,1.0593148912519,904031,422.48
2023-06-21,46.62%,-0.98%,27.23%,46%,0.86460644743075,149575,1.0600176215539,888465,424.45
2023-06-20,47.60%,+6.32%,29.01%,49%,0.74873599821224,125206,1.0707039078156,859690,434.7
2023-06-16,41.28%,+1.45%,17.55%,29%,0.6803488002636,285582,1.0809486414324,1126199,431.96
2023-06-15,39.83%,+2.22%,14.93%,25%,0.64494829240556,231436,1.0792276008011,1100452,445.27
2023-06-14,37.60%,+1.72%,10.90%,18%,0.62590596543393,271219,1.0903076089432,1064694,440.86
2023-06-13,35.88%,-0.36%,7.79%,13%,0.66501923470297,252332,1.0687423014393,1039603,435.73
2023-06-12,36.24%,+0.72%,8.44%,13%,0.59495809169258,148237,1.0599585311801,1010387,423.97
2023-06-09,35.52%,+0.68%,7.13%,11%,0.46002213422908,525059,1.008633096163,1095627,420.02
2023-06-08,34.84%,-0.81%,5.90%,9%,0.51486283915455,202113,0.99183222348098,1081296,409.37
2023-06-07,35.65%,+1.35%,7.36%,11%,0.38977002379064,357510,1.0281221047251,1015716,399.77
2023-06-06,34.30%,-1.14%,4.91%,8%,0.65312051565551,140545,1.0197568635069,998180,399.29
2023-06-05,35.44%,-0.28%,6.98%,10%,0.65732717044902,214778,1.0244529591379,957380,403.54
2023-06-02,35.72%,-1.37%,7.49%,10%,0.56907989616383,288320,1.0001838366911,1033621,400.47
2023-06-01,37.09%,-1.60%,9.98%,13%,0.44280118515543,287305,1.0249445289782,987448,403.13
2023-05-31,38.69%,-0.32%,12.87%,16%,0.69581473091557,154214,1.0305431247917,962847,395.23
2023-05-30,39.01%,+0.58%,13.44%,18%,0.47815726378627,302091,1.0486922110692,921512,392.98
2023-05-26,38.43%,+2.68%,12.39%,16%,0.49769873460763,493318,1.0213482067506,1010759,378.88
2023-05-25,35.74%,-0.32%,7.53%,10%,0.5444226419208,226678,1.032870249445,996204,359
2023-05-24,36.06%,+2.00%,8.10%,10%,0.58132770302462,315312,1.0410519837036,958378,364.85
2023-05-23,34.05%,+1.81%,4.47%,7%,0.72594348805518,248239,1.0669156474808,922574,355.99
2023-05-22,32.25%,-0.63%,1.20%,2%,0.60018375979474,184610,1.0858303204398,884415,363.01
2023-05-19,32.87%,-1.36%,2.34%,3%,0.61456498808091,347456,1.1049307695215,1058235,365.36
2023-05-18,34.23%,+2.64%,4.79%,6%,0.59450465164926,754636,1.1092791656636,955012,371.29
2023-05-17,31.58%,-1.88%,0.00%,0%,0.74949406656469,184136,1.0964329266921,931768,339.96
2023-05-16,33.46%,-0.02%,3.04%,3%,0.57435282499824,111598,1.1019593255677,915418,333.75
2023-05-15,33.48%,+1.01%,3.07%,3%,0.87742942261314,119106,1.0975449664493,888390,335.89
2023-05-12,32.47%,-0.12%,1.23%,1%,0.75912255366842,326465,1.1075185133799,972173,339.89
2023-05-11,32.59%,+0.55%,1.46%,1%,0.69810092185273,331201,1.1042861711611,927744,344.76
2023-05-10,32.04%,-0.83%,0.45%,1%,0.80412098646257,156991,1.1068866670359,912855,335.42
2023-05-09,32.87%,+0.03%,1.97%,1%,0.80069846813239,181496,1.1030268041237,892472,332.14
2023-05-08,32.84%,+1.05%,1.91%,1%,0.75152163617547,199712,1.1162479545195,850956,331.21
2023-05-05,31.79%,-3.34%,0.00%,0%,0.73693089062217,191514,1.1195018101084,917420,322.76
2023-05-04,35.13%,+0.43%,5.70%,4%,1.0812548954941,151455,1.1140759240993,902332,320.78
2023-05-03,34.70%,-0.67%,4.92%,3%,0.90833551998601,130908,1.1126666682537,887470,319.3
2023-05-02,35.37%,+1.73%,6.15%,4%,0.91578910418422,109154,1.1233886533101,876813,317.55
2023-05-01,33.64%,+1.64%,2.99%,1%,1.023988987785,151447,1.1220799685845,843009,324.12
2023-04-28,32.00%,-1.26%,0.00%,0%,0.83739576339629,188831,1.0920705729951,917306,329.93
2023-04-27,33.26%,-1.82%,0.00%,0%,1.1556894184347,194676,1.0924580992607,900640,325.85
2023-04-26,35.08%,-0.24%,2.89%,4%,1.124645367321,149029,1.1005439163877,885917,321.15
2023-04-25,35.32%,+1.46%,3.34%,4%,0.89694885490598,129628,1.1040995393502,863291,322.55
2023-04-24,33.86%,+0.32%,0.60%,2%,0.77586054037281,160243,1.1030529833513,835095,329.02
2023-04-21,33.54%,-0.42%,0.00%,2%,0.9244773381862,268607,1.0200371225497,1115515,327.98
2023-04-20,33.96%,-0.35%,0.00%,2%,0.91278419679463,384900,1.0223614992678,1100648,325.35
2023-04-19,34.31%,-17.61%,0.00%,2%,1.1803320958698,701838,1.0717015803734,1057498,323.12
2023-04-18,51.92%,+0.11%,30.92%,52%,0.92751333300105,386717,1.0696260683275,910027,333.7
