Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI"
2023-06-27,11.79%,-0.75%,4.09%,3%,0.97472581915276,3786596,2.0976086863644,19285817
2023-06-26,12.54%,+0.62%,7.81%,6%,1.0889205219983,7504612,2.10212001734,18934776
2023-06-23,11.92%,+0.38%,4.71%,3%,1.1136843594864,7587702,2.1487619521634,19498044
2023-06-22,11.54%,-0.42%,2.82%,2%,1.0577835210907,7474769,2.1231410007002,19152556
2023-06-21,11.96%,-0.31%,4.92%,4%,1.0699265522116,7661918,2.150759135739,18818788
2023-06-20,12.27%,+0.41%,6.49%,4%,1.2158917814135,7691141,2.1463978515164,18447683
2023-06-16,11.86%,-0.07%,4.43%,2%,1.0473899419767,9320712,2.5706230752336,21638515
2023-06-15,11.93%,+0.45%,4.78%,2%,0.97757095593472,12120214,1.9508153310693,23044472
2023-06-14,11.48%,-0.26%,2.54%,2%,1.0851962810395,9020434,1.9601954030016,22561372
2023-06-13,11.74%,-0.34%,3.81%,2%,1.0897097550975,8898540,1.9910447339779,22246299
2023-06-12,12.08%,+0.97%,5.51%,2%,1.4242345364963,7171310,1.9257865441312,21717306
2023-06-09,11.11%,+0.14%,0.69%,0%,1.1278099012278,8793900,1.8955805000446,22332431
2023-06-08,10.97%,-0.44%,0.00%,0%,1.216282264847,7910891,1.9099975947664,21886380
2023-06-07,11.41%,-0.03%,0.00%,0%,1.1100040343167,8865087,1.9440818526032,21547476
2023-06-06,11.44%,-0.76%,0.00%,0%,1.2689087029437,8245997,1.9664574457779,21067496
2023-06-05,12.20%,+0.25%,1.33%,0%,1.2956927919414,8798789,1.9477377945136,20633463
2023-06-02,11.95%,-0.81%,0.00%,0%,1.0869142473243,10751033,2.0098292840949,21025939
2023-06-01,12.76%,-1.63%,0.00%,0%,1.1705792102055,9279250,1.9770760232225,20570598
2023-05-31,14.38%,+0.11%,3.75%,2%,1.2822973009398,8128484,2.0103270984078,20511830
2023-05-30,14.28%,-0.33%,3.12%,2%,1.3422634538587,8392604,2.0583735272058,20347879
2023-05-26,14.60%,-1.26%,5.00%,2%,1.4187511603308,9041674,1.9898103071065,20590115
2023-05-25,15.86%,-1.18%,12.28%,8%,1.0513624160381,8145954,1.923143230629,20682469
2023-05-24,17.04%,+1.39%,19.13%,14%,1.1272286877123,9075634,2.0099738396442,20289433
2023-05-23,15.65%,+1.25%,11.07%,8%,1.230197105409,9357519,2.0391744096568,19853963
2023-05-22,14.40%,+0.22%,3.82%,2%,1.3308361872591,7471556,2.0253599786627,19612008
2023-05-19,14.18%,+0.45%,2.57%,1%,1.3378716485626,9510359,2.0498738598079,22331213
2023-05-18,13.73%,-0.84%,0.00%,0%,1.156572419612,10039759,2.016429942302,21882688
2023-05-17,14.57%,-1.54%,3.70%,1%,1.3307628772196,9408143,1.9903029791745,21338512
2023-05-16,16.12%,+1.16%,12.73%,8%,1.2865542223312,6776567,2.0048538125466,21052123
2023-05-15,14.96%,+0.06%,5.94%,2%,1.258688244945,7277227,1.9889375633916,20687214
2023-05-12,14.89%,-0.04%,5.58%,1%,1.1079123595889,8766700,1.9648918115656,21208642
2023-05-11,14.93%,-0.10%,5.80%,1%,1.184403346551,7583971,1.9518980032284,20989701
2023-05-10,15.03%,-0.88%,6.38%,2%,1.0041236765325,9734662,1.9278576075168,20451507
2023-05-09,15.91%,+0.82%,11.54%,5%,1.1885512384785,5723996,1.911624243204,20366666
2023-05-08,15.09%,-0.09%,6.72%,2%,1.265119349193,6705349,1.9019690867076,20012536
2023-05-05,15.18%,-3.06%,7.25%,3%,1.2316309223564,8591846,1.8741758536431,20418631
2023-05-04,18.24%,+1.37%,25.12%,21%,1.2714165839122,9119490,1.8697099286717,20228063
2023-05-03,16.87%,+0.84%,17.13%,7%,1.1835321924427,7933814,1.8697944858104,20025314
2023-05-02,16.03%,+1.83%,12.24%,4%,1.1009375143286,10492874,1.8864921815884,19832421
2023-05-01,14.21%,+0.26%,1.54%,0%,1.1475679155584,7235472,1.8910572790449,19506533
2023-04-28,13.94%,-1.23%,0.00%,0%,1.2985083456474,9052859,1.8608331823329,20035253
2023-04-27,15.17%,-2.45%,2.32%,2%,1.2629277081365,8893806,1.8373383652146,19245337
2023-04-26,17.62%,-0.13%,17.41%,13%,1.2262643827492,8216681,1.8393930589798,19125615
2023-04-25,17.75%,+2.53%,18.19%,15%,1.056667855761,8988200,1.9087288773746,18610728
2023-04-24,15.21%,+0.15%,2.58%,2%,1.0242318262737,7058966,1.9000529855569,18198688
2023-04-21,15.07%,-0.44%,1.67%,2%,1.2001000158865,7963097,2.0860740621727,22011988
2023-04-20,15.51%,+0.71%,4.38%,2%,1.2290300404408,8618295,2.0680669921336,21613452
2023-04-19,14.79%,-0.15%,0.00%,0%,1.3147109807883,6580390,2.0411189143498,21323599
2023-04-18,14.95%,-0.08%,0.00%,0%,1.1220639078136,7905000,2.023451177822,20709407
2023-04-17,15.03%,-0.30%,0.00%,0%,1.1824287585386,7088306,2.0447734391696,21584201
2023-04-14,15.33%,-0.58%,0.00%,0%,1.1780627617521,9602018,2.0924687751417,21621382
2023-04-13,15.91%,-1.40%,0.00%,0%,1.3595277356489,8166191,1.9548116612279,21056112
2023-04-12,17.31%,-0.08%,7.96%,7%,1.1024443259355,8830981,2.0065402468331,20655623
2023-04-11,17.69%,+0.30%,10.49%,11%,1.1909916376608,6190178,2.0151349238159,19882858
2023-04-10,17.39%,+0.51%,8.50%,7%,1.1369249231666,6919739,2.0720868372597,21344248
2023-04-06,16.88%,-0.63%,5.06%,2%,1.3790407674338,7176612,2.0016790612364,21459703
2023-04-05,17.51%,+0.25%,9.30%,8%,1.5433167627288,7303775,1.999220444552,21321998
2023-04-04,17.26%,+0.47%,7.66%,6%,1.4076876119105,8854524,2.0964706080984,20907673
2023-04-03,16.79%,-0.09%,12.18%,2%,1.3740174616882,8203028,2.2905924628535,22223750
2023-03-31,16.88%,-0.31%,12.77%,3%,1.6347408674168,10015891,2.0917707471813,21334291
2023-03-30,17.20%,-0.45%,14.69%,5%,1.3441625189883,8371649,2.1055179030932,20856975
2023-03-29,17.65%,-1.02%,17.46%,9%,1.5059421476912,7884328,2.01915221282,20265235
2023-03-28,18.67%,-0.33%,23.77%,20%,1.227743525893,7117547,2.0490798801862,20108383
2023-03-27,19.00%,-0.91%,25.83%,21%,1.1641681900274,7869238,2.0902483176158,20589450
2023-03-24,19.92%,-0.88%,31.46%,31%,1.4992798895474,9566956,2.0197957648649,20194552
2023-03-23,20.80%,+0.07%,36.89%,38%,1.6698727800102,11292291,2.0209633301305,19735026
2023-03-22,20.72%,+1.38%,36.44%,38%,1.4194667191231,9409173,2.1542647810334,19227026
2023-03-21,19.35%,-2.23%,27.96%,25%,1.3965446762491,7791543,2.0984079584411,18765703
2023-03-20,21.57%,-1.27%,41.68%,48%,1.4017936069813,7811423,1.9472441075073,21746612
2023-03-17,22.85%,+3.05%,49.53%,58%,1.1520925372925,9812750,2.1941459733197,22169149
2023-03-16,19.80%,-2.76%,30.73%,31%,1.2789203709131,11073110,2.008713583287,22154500
2023-03-15,22.56%,+1.57%,47.76%,57%,1.4246592988303,10785498,2.0080398948947,22033432
2023-03-14,20.99%,-3.06%,38.10%,43%,1.4651848292611,10558537,1.969361785824,21649014
2023-03-13,24.39%,+2.21%,59.04%,69%,1.625740694163,6723041,2.0571850426459,20024507
2023-03-10,22.18%,+1.23%,45.42%,52%,1.628079000818,14601988,1.9714614942055,21723208
2023-03-09,20.95%,+3.08%,37.85%,42%,1.4382624981418,11284786,2.0327755968253,21171488
2023-03-08,17.87%,-0.46%,18.87%,13%,1.3695770146824,7702457,1.9979325334367,20982242
2023-03-07,18.33%,+1.08%,21.68%,16%,1.2053066175842,9622346,2.1315301038492,20717104
2023-03-06,17.25%,+0.08%,15.03%,7%,1.3466558805745,8351523,2.2249725553196,21230778
2023-03-03,17.17%,-1.39%,14.52%,6%,1.5241567365271,9418853,2.0471180341015,20678197
2023-03-02,18.56%,-0.94%,23.07%,18%,1.448076593252,9277941,1.9529174492101,20202305
2023-03-01,19.50%,+0.22%,28.90%,26%,1.2196337955896,8893460,1.9911333880143,19685265
2023-02-28,19.29%,-0.27%,27.57%,22%,1.2240143941664,7727874,2.0404383324436,19581110
2023-02-27,19.56%,-0.60%,29.26%,26%,1.3354419093258,8643648,1.9408758025315,19673321
2023-02-24,20.16%,+0.71%,32.93%,30%,1.1798718309977,9376056,1.9995149745431,19418521
2023-02-23,19.45%,-1.14%,28.56%,25%,1.1046334736543,8913731,1.9415600725197,18996089
2023-02-22,20.58%,-0.58%,35.57%,33%,1.1456696559434,8132309,1.9273088222968,18650066
