Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI",Last
2023-06-27,60.13%,-3.18%,30.40%,41%,0.68989608316106,980111,0.81708594022359,8787831,243.8499
2023-06-26,63.31%,+1.61%,36.57%,54%,0.77673990180138,2218242,0.8182087344612,8486802,241.05
2023-06-23,61.70%,-2.80%,33.45%,48%,0.71885614556547,3515989,0.80945618943653,9141436,256.6
2023-06-22,64.50%,-2.34%,38.88%,59%,0.64346741444475,2628570,0.80942337869909,8902781,264.61
2023-06-21,66.84%,+0.39%,43.42%,68%,0.56381669652568,2954730,0.82108028744866,8606664,259.46
2023-06-20,66.45%,+5.65%,42.67%,66%,0.6037891323628,2397854,0.81102961236121,8291359,274.45
2023-06-16,60.80%,-0.03%,31.71%,42%,0.62169358298142,3617880,0.81850004740953,10279748,260.54
2023-06-15,60.83%,+1.61%,31.77%,42%,0.6360642387848,2362660,0.81435840505286,10061002,255.9
2023-06-14,59.23%,+2.74%,28.65%,39%,0.69415781620057,2513666,0.81474950402886,9802413,256.79
2023-06-13,56.48%,-0.03%,23.32%,30%,0.6177323435403,2432445,0.79705321529969,9598807,258.71
2023-06-12,56.52%,+1.32%,23.39%,30%,0.62527418358802,1773860,0.79812946151898,9359886,249.83
2023-06-09,55.20%,+1.64%,20.83%,28%,0.53740289015498,5112415,0.81639622693028,9845427,244.4
2023-06-08,53.56%,+1.97%,17.65%,22%,0.66329918530398,3116532,0.79319544305644,9588225,234.86
2023-06-07,51.59%,-0.20%,13.83%,14%,0.58046066249817,2951760,0.78710675529827,9439925,224.57
2023-06-06,51.79%,-0.59%,14.22%,14%,0.62100780882425,1846691,0.78605864883512,9259855,221.31
2023-06-05,52.38%,+1.66%,15.37%,16%,0.70379939300497,1996858,0.77987057112605,9028559,217.61
2023-06-02,50.72%,-1.57%,12.15%,12%,0.5269369699632,3865331,0.77827494544928,9418539,213.97
2023-06-01,52.29%,-1.11%,15.19%,15%,0.57938523502347,2493197,0.77048154202386,9283242,207.52
2023-05-31,53.40%,+0.17%,17.34%,18%,0.63783502814561,1940977,0.77101563060365,9135731,203.93
2023-05-30,53.23%,+2.96%,17.02%,18%,0.50733057963778,2224936,0.77294795034375,8852127,201.16
2023-05-26,50.28%,+2.10%,11.28%,11%,0.5944727442023,4507069,0.7704198475854,9197170,193.17
2023-05-25,48.17%,-0.90%,7.19%,5%,0.64569084764756,1879741,0.76342680076129,9094089,184.47
2023-05-24,49.07%,+1.26%,8.94%,6%,0.95059276676744,2177593,0.76425928988008,8983880,182.9
2023-05-23,47.81%,+1.42%,6.50%,4%,0.6164284239488,2356473,0.77568181854649,8853166,185.77
2023-05-22,46.39%,+1.92%,3.73%,3%,0.67387730520696,2159598,0.75927074422804,8541219,188.87
2023-05-19,44.47%,-0.02%,0.00%,0%,0.59211056562021,3354206,0.78423323640241,9457653,180.14
2023-05-18,44.49%,-1.13%,0.00%,0%,0.73052282588125,1975108,0.78442384604095,9337476,176.89
2023-05-17,45.61%,-3.70%,1.79%,1%,1.0123398891801,2390042,0.77559728537412,9234640,173.86
2023-05-16,49.32%,-0.27%,9.01%,5%,0.85622908186024,1323302,0.77313142967097,9104310,166.52
2023-05-15,49.59%,+0.87%,9.55%,5%,0.84729054312547,1496878,0.76630267408542,8901247,166.35
2023-05-12,48.72%,+2.81%,7.84%,4%,0.57097606698878,4409601,0.74931159587034,9122590,167.98
2023-05-11,45.91%,-0.32%,2.37%,1%,0.62040932829664,1816649,0.75068176100041,8983093,172.08
2023-05-10,46.23%,-0.69%,3.00%,1%,0.94000940737654,1880746,0.75452161476932,8871042,168.54
2023-05-09,46.93%,-0.01%,4.35%,1%,0.8698148897624,1076473,0.75720018201961,8796639,169.15
2023-05-08,46.93%,+2.24%,4.37%,1%,0.68993007420561,1271451,0.75680753157455,8648124,171.79
2023-05-05,44.70%,-5.91%,0.00%,0%,0.76936330769276,2726442,0.76271146601354,8999088,170.06
2023-05-04,50.60%,+0.27%,8.11%,6%,0.9001512819878,1458254,0.76009114943419,8910384,161.2
2023-05-03,50.33%,+0.10%,7.55%,5%,1.4252124603131,1927976,0.75781732162101,8795246,160.61
2023-05-02,50.23%,+2.02%,7.35%,4%,0.87164515958398,1486090,0.75466837136696,8651710,160.31
2023-05-01,48.21%,+1.62%,3.27%,1%,0.98233876638408,1254533,0.75168586256291,8475744,161.83
2023-04-28,46.60%,-2.93%,0.00%,0%,0.85894750357415,2577137,0.75040601039871,8965212,164.31
2023-04-27,49.53%,-4.70%,1.87%,2%,1.1447367937495,2334383,0.74777322431288,8870823,160.19
2023-04-26,54.23%,+2.02%,11.80%,14%,1.4472690496927,3172412,0.74816015341875,8663616,153.75
2023-04-25,52.21%,+2.22%,7.54%,7%,1.0767153511293,1571897,0.74693868468325,8557035,160.67
2023-04-24,49.99%,+0.90%,2.84%,3%,1.0382684024392,1946316,0.74665911022953,8321346,162.55
2023-04-21,49.09%,-4.79%,0.94%,2%,0.98290994735302,2697515,0.73357036686439,9728074,165.08
2023-04-20,53.87%,-5.97%,11.05%,11%,0.88872061037198,4100420,0.76191865503111,9281976,162.99
2023-04-19,59.84%,+1.57%,23.65%,27%,1.0005684221831,1527468,0.76087925237373,9041312,180.59
2023-04-18,58.27%,+0.13%,20.33%,24%,0.91938200761915,762296,0.75837134689029,8934429,184.31
2023-04-17,58.14%,-0.76%,20.05%,23%,0.82668203161512,1082658,0.75337908449227,9311772,187.04
2023-04-14,58.90%,-1.98%,21.66%,25%,0.84815031257827,1881685,0.75426262233378,9272941,185
2023-04-13,60.87%,-3.30%,25.83%,29%,0.73594160307362,1575985,0.74297242155835,9188853,185.9
2023-04-12,64.17%,+1.77%,32.80%,44%,0.86113894217783,2156645,0.75526258825113,9025067,180.54
2023-04-11,63.19%,+0.17%,30.71%,39%,0.61030037568209,1420921,0.75775684637842,8927132,186.79
2023-04-10,63.02%,+1.90%,30.36%,38%,0.82388680337428,1714118,0.73094113234597,9354835,184.51
2023-04-06,61.12%,-1.19%,26.35%,31%,0.83010481461527,2540837,0.74451711740902,9271545,185.06
2023-04-05,62.31%,-0.80%,28.86%,36%,0.67425486602777,2006273,0.75176660041815,9123493,185.52
2023-04-04,63.11%,+1.61%,30.54%,39%,0.8186369290883,1804026,0.74846775855216,8969470,192.58
2023-04-03,61.49%,+0.73%,27.14%,34%,0.54393975538284,2530596,0.78011714591419,9281853,194.77
2023-03-31,60.76%,-1.54%,25.60%,30%,0.70673210871728,3816381,0.72567088670928,9105480,207.46
2023-03-30,62.30%,-1.25%,28.85%,37%,0.70708401707268,1668620,0.72074288568756,8983799,195.28
2023-03-29,63.56%,-2.16%,31.50%,40%,0.76089178342946,1666066,0.72122364932251,8857052,193.88
2023-03-28,65.72%,-0.49%,36.07%,51%,0.65673637590826,1302160,0.71764770055628,8722495,189.19
2023-03-27,66.21%,-0.39%,37.11%,52%,0.64914728463471,1286010,0.73730449865993,9047140,191.81
2023-03-24,66.60%,-0.81%,37.93%,54%,0.80179235427298,2269689,0.73410975158666,9019958,190.41
2023-03-23,67.41%,+1.91%,39.64%,58%,0.73088373792045,2302856,0.73830931787286,8843746,192.22
2023-03-22,65.50%,+1.47%,35.61%,51%,0.68165783945435,2173383,0.74157208065356,8705619,191.15
2023-03-21,64.03%,+0.84%,32.50%,44%,0.75504515502148,2283054,0.72625860473156,8469313,197.58
2023-03-20,63.19%,+0.76%,30.73%,41%,0.86485627506308,1349548,0.70990310259986,10297281,183.25
2023-03-17,62.43%,+1.48%,29.12%,40%,0.66290193178361,2410531,0.71514445429702,10495137,180.13
2023-03-16,60.95%,-3.89%,26.00%,35%,0.84322564864814,1959312,0.71121215777174,10410806,184.13
2023-03-15,64.84%,+4.23%,34.21%,49%,1.0594494169467,1823488,0.71482541362503,10301493,180.45
2023-03-14,60.61%,-4.67%,25.27%,33%,0.88437986707348,1859621,0.71417657294951,10164042,183.26
2023-03-13,66.05%,+1.86%,36.77%,52%,1.0102604554367,2036229,0.71002553899354,9967284,174.48
2023-03-10,64.19%,+0.56%,32.83%,46%,1.1334632936315,1534374,0.70526335258954,9772808,173.44
2023-03-09,63.63%,+3.38%,31.65%,43%,0.85740027308206,2591417,0.70421798415637,10369466,172.92
2023-03-08,60.25%,-1.41%,24.51%,32%,0.86926018911753,2310314,0.7129032491367,10184044,182
2023-03-07,61.65%,+0.71%,27.48%,38%,0.82431110409823,1907673,0.70492198722093,10015213,187.71
2023-03-06,60.95%,+1.99%,25.98%,35%,0.76909410553468,1427919,0.7077977143977,10683588,193.81
2023-03-03,58.95%,-1.99%,21.77%,29%,0.80856081769335,3254507,0.69953357885404,10632899,197.79
2023-03-02,60.94%,-3.90%,25.96%,34%,0.72023850675062,2911268,0.69923373525952,10397669,190.9
2023-03-01,64.84%,+0.17%,34.21%,47%,0.6869935665704,1503587,0.69381166031977,10244781,202.77
2023-02-28,64.67%,-1.07%,33.85%,47%,0.6001865595816,1614257,0.69310038285391,10059881,205.72
2023-02-27,65.74%,-0.84%,36.11%,50%,0.74875031557687,1835602,0.69014242914091,10519340,207.63
2023-02-24,66.57%,-1.45%,37.87%,53%,0.85252158801536,2920843,0.68959233038053,10469912,196.88
2023-02-23,68.02%,-3.20%,40.93%,60%,0.68523859992755,2386704,0.68741661996133,10338913,202.07
2023-02-22,71.22%,-3.21%,47.68%,73%,0.78395407912984,2691109,0.6835705158466,10121333,200.86
2023-02-21,74.43%,+4.54%,54.47%,87%,0.74365934138152,2281784,0.79796820957272,11437390,197.37
2023-02-17,69.89%,-3.33%,44.88%,68%,0.85237153984481,4859982,0.74639993363099,11577933,208.3456
2023-02-16,73.22%,+1.54%,51.92%,84%,0.84626463454011,4196962,0.73163129322231,11267072,202.04
2023-02-15,71.68%,-0.37%,48.67%,77%,0.6160823337892,2719086,0.72308414971371,11056054,214.24
2023-02-14,72.05%,+1.22%,49.45%,79%,0.69752513092,3264222,0.71742729043949,10668557,209.25
2023-02-13,70.83%,-0.03%,46.87%,74%,0.82333979295084,2029503,0.73435993090073,11128132,194.64
2023-02-10,70.86%,-1.37%,46.93%,75%,0.89873651192843,4910463,0.73989992883583,11038769,196.89
2023-02-09,72.24%,+1.40%,49.83%,80%,0.72736552410093,4098572,0.70900662494256,10730075,207.32
2023-02-08,70.84%,+1.48%,46.89%,75%,0.54982491950616,2727323,0.7032171821879,10497619,201.29
2023-02-07,69.36%,-3.15%,43.76%,69%,0.61426318331422,2416531,0.69633784782525,10365296,196.81
2023-02-06,72.51%,+1.07%,50.41%,81%,0.55336323941474,2210279,0.73356324726608,11041151,194.76
2023-02-03,71.44%,+2.87%,48.15%,77%,0.63277706744842,4779852,0.70324834062731,10862313,189.98
2023-02-02,68.57%,+0.18%,42.09%,69%,0.53676285249369,4121432,0.69321825189932,10645700,188.27
2023-02-01,68.39%,-0.33%,41.71%,68%,0.66828136575152,2632553,0.681603458988,10463606,181.41
2023-01-31,68.72%,-2.10%,42.40%,69%,0.65045196264658,2218252,0.67974407754439,10249281,173.22
2023-01-30,70.82%,-2.09%,46.83%,76%,0.66698466464517,2986263,0.78918900760378,10705319,166.66
2023-01-27,72.91%,+15.69%,51.25%,83%,0.66095432242313,7189572,0.69757718404159,10212862,177.878
2023-01-26,57.22%,-11.02%,18.11%,24%,0.93614395677283,3704310,0.67155104546998,9803117,160.27
2023-01-25,68.23%,-0.97%,41.38%,67%,0.98259776034493,2317518,0.65149447599758,9406100,144.43
2023-01-24,69.21%,+0.74%,43.43%,69%,0.67919857506566,1334936,0.64559237225316,9203887,143.89
2023-01-23,68.47%,+0.18%,41.87%,69%,0.78518668340785,2038851,0.64892312679493,11750152,143.75
2023-01-20,68.28%,-4.72%,41.48%,67%,0.73422851416303,2953986,0.64599449010625,11953556,133.41
2023-01-19,73.01%,+0.18%,51.46%,82%,1.0422128173243,2524173,0.64378965266693,11825214,127.17
2023-01-18,72.82%,-0.57%,51.07%,80%,1.5396801502527,3610422,0.64264105717641,11614471,128.78
2023-01-17,73.39%,-0.15%,52.27%,82%,0.83206013173888,2761325,0.65661033423356,12090802,131.49
2023-01-13,73.54%,-1.32%,52.58%,84%,0.99060453365372,3996266,0.64448833521634,11918074,122.4
2023-01-12,74.86%,-2.13%,55.38%,87%,1.0694225156005,2884835,0.64284915698472,11740702,123.56
2023-01-11,76.99%,-2.55%,59.88%,90%,1.3392904124661,3129746,0.6359877868115,11530100,123.22
2023-01-10,79.55%,-0.57%,65.28%,92%,0.87895853475916,1929790,0.63801884516934,11347731,118.85
