Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI"
2023-06-27,103.78%,+8.21%,49.60%,86%,0.16425667374536,275767,0.2900051990417,11572487
2023-06-26,95.57%,+40.22%,45.53%,77%,0.32186392002147,463041,0.29403991461004,11352519
2023-06-23,55.36%,-72.15%,25.55%,2%,0.18344359391777,512508,0.29545238691103,11061877
2023-06-22,137.18%,+0.30%,66.19%,99%,0.2922538597313,833160,0.29751379059354,10722375
2023-06-21,136.88%,+28.92%,66.04%,99%,0.34385857061689,721390,0.34075045681677,16080784
2023-06-20,107.96%,+107.96%,51.68%,91%,0.48706880242164,1414827,0.35039356427357,15811607
2023-06-19,113.93%,+20.38%,54.64%,95%,0.24489795918367,61,0.34968807315223,15537601
2023-06-16,93.55%,-0.99%,44.52%,73%,1.0099653042933,1060721,0.34968807315223,15537601
2023-06-15,76.41%,-16.70%,36.01%,17%,0.2918914567713,786395,0.35883778368507,15273300
2023-06-14,67.82%,-23.53%,31.74%,5%,0.24267327457315,713118,0.36031916618447,15219629
2023-06-13,91.35%,+16.84%,43.43%,67%,0.40596506116813,977448,0.36467223916204,14900021
2023-06-12,35.12%,-85.49%,15.50%,1%,0.39719293911595,882298,0.37197369972924,14552370
2023-06-09,120.61%,+26.15%,57.96%,97%,0.58993602668459,894215,0.37351000526367,14377889
2023-06-08,138.45%,+21.34%,66.82%,99%,0.45923308699927,1150204,0.37230997461129,13735150
2023-06-07,117.10%,+3.50%,56.22%,96%,0.70567090650639,646758,0.36486193926236,13516569
2023-06-06,117.71%,+1.63%,56.52%,96%,0.85753468990168,1159423,0.35190124173331,13137053
2023-06-05,35.38%,-100.40%,15.63%,1%,0.32076700414187,478642,0.35084105112999,13165563
2023-06-02,135.78%,+28.01%,65.50%,99%,0.27990816867309,1767845,0.3553204543311,12832273
2023-06-01,85.92%,+3.56%,40.73%,54%,0.43282585391164,1212281,0.36651960035087,12436535
2023-05-31,42.94%,-47.94%,19.39%,1%,0.30514870225319,324088,0.35856062891714,12392051
2023-05-30,34.90%,+34.90%,15.39%,1%,0.32686443149008,605224,0.35560689806457,12316216
2023-05-29,87.65%,-3.16%,41.59%,59%,0.14723926380368,374,0.35539083495264,12238591
2023-05-26,90.81%,+19.76%,43.16%,66%,0.35970661342627,578203,0.35539083495264,12238591
2023-05-25,89.62%,+35.85%,42.57%,64%,1.0805867197303,560431,0.35461848246144,12257562
2023-05-24,95.19%,+3.54%,45.33%,77%,0.87402825793268,717170,0.32760409375801,12319623
2023-05-23,91.65%,+0.08%,43.58%,69%,0.36239666833667,435095,0.32750490635837,12160691
2023-05-22,91.57%,-3.58%,43.53%,68%,0.14636137909171,1099270,0.32803875546497,11566940
2023-05-19,95.14%,-1.38%,45.31%,76%,0.50112897132265,1017177,0.32243597020509,11195046
2023-05-18,102.51%,+9.27%,48.97%,87%,0.22650046177211,1236402,0.31743448699062,10768944
2023-05-17,63.98%,-26.12%,29.84%,1%,0.59242688126839,848496,0.33180408093934,14520568
2023-05-16,90.09%,+4.62%,42.80%,64%,0.39979667158604,1124913,0.34764675937433,14091605
2023-05-15,77.87%,+73.95%,36.73%,17%,0.66953180929844,725273,0.3466156727986,13938532
2023-05-12,3.91%,-60.42%,0.00%,0%,0.49886743127984,772879,0.33742946156166,13846228
2023-05-11,98.64%,-6.93%,24.94%,80%,0.34935313583631,783707,0.34199494432041,13537064
2023-05-10,55.65%,-46.91%,0.00%,0%,0.48474690772225,923082,0.33643101126401,13336650
2023-05-09,75.27%,-43.07%,8.49%,13%,0.42505144864424,590671,0.33781747858658,13224691
2023-05-08,116.15%,+23.32%,37.27%,95%,0.5508898281157,357035,0.33593806532192,13126536
2023-05-05,92.83%,+1.29%,20.85%,68%,0.51187001237571,708553,0.32855719419202,12832146
2023-05-04,91.54%,-1.74%,19.94%,66%,0.22326295155419,1638102,0.33217026427882,12391235
2023-05-03,94.67%,+5.45%,22.15%,73%,1.1314982489109,499069,0.32544540739243,12356657
2023-05-02,89.23%,-34.04%,18.31%,61%,0.4281044042915,1147142,0.31628568083966,12256423
2023-05-01,3.66%,-201.59%,0.00%,0%,0.5474941186421,494005,0.31340609860957,12145057
2023-04-28,205.25%,+102.87%,100.00%,100%,0.35982593075527,596523,0.31270149245164,11891306
2023-04-27,105.88%,+17.10%,58.41%,86%,0.59075597401625,573765,0.30984970067465,11696409
2023-04-26,88.78%,-20.78%,35.00%,59%,0.30466821830379,519635,0.3092455052623,11650926
2023-04-25,34.32%,-82.73%,0.00%,0%,0.38204387635961,877110,0.30614125207935,11383614
2023-04-24,28.91%,-80.60%,0.00%,0%,0.44423849769832,592961,0.30424155893294,11140894
2023-04-21,109.50%,+4.13%,63.37%,90%,0.25606517514384,656024,0.30376528741107,10773023
2023-04-20,108.58%,+3.20%,62.11%,90%,0.36883760899973,735909,0.29963336496735,10358499
2023-04-19,81.92%,-14.81%,25.60%,30%,0.41655589149652,1327786,0.32794215618263,13514547
2023-04-18,96.73%,+14.32%,45.89%,75%,0.42878582632254,1202409,0.33371383676578,12911729
2023-04-17,82.41%,-2.03%,26.28%,31%,0.81950966487418,726119,0.32763669867849,12789820
2023-04-14,84.44%,+6.85%,29.06%,42%,0.40356544719233,919348,0.3280581930843,12482492
2023-04-13,77.59%,+4.68%,19.68%,16%,0.39730402970807,912093,0.32310096777395,12160060
